,0,1,2,3
0,FBtr0070656,FBtr0308942,FBtr0078404,FBtr0344893
1,FBtr0273362,FBtr0088512,FBtr0079129,FBtr0085878
2,FBtr0088275,FBtr0072789,FBtr0078387,FBtr0084497
3,FBtr0075570,FBtr0302179,FBtr0078382,FBtr0084588
4,FBtr0083781,FBtr0081634,FBtr0078377,FBtr0082526
5,FBtr0074652,FBtr0080511,FBtr0078466,FBtr0301142
6,FBtr0075121,FBtr0074176,FBtr0078464,FBtr0087102
7,FBtr0076102,FBtr0072867,FBtr0078462,FBtr0083229
8,FBtr0075122,FBtr0073441,FBtr0078450,FBtr0479648
9,FBtr0081843,FBtr0073968,FBtr0303882,FBtr0070416
10,FBtr0075614,FBtr0073967,FBtr0078448,FBtr0086067
11,FBtr0074653,FBtr0089104,FBtr0083601,FBtr0070415
12,FBtr0073620,FBtr0073966,FBtr0079495,FBtr0081740
13,FBtr0073835,FBtr0088182,FBtr0081249,FBtr0301366
14,FBtr0078761,FBtr0076584,FBtr0078485,FBtr0076523
15,FBtr0083009,FBtr0072848,FBtr0078561,FBtr0089419
16,FBtr0113195,FBtr0081639,FBtr0073235,FBtr0087009
17,FBtr0083008,FBtr0073440,FBtr0310323,FBtr0086142
18,FBtr0088391,FBtr0089103,FBtr0307376,FBtr0084492
19,FBtr0083529,FBtr0072866,FBtr0077625,FBtr0083189
20,FBtr0079535,FBtr0086171,FBtr0088078,FBtr0083786
21,FBtr0075919,FBtr0074026,FBtr0079864,FBtr0114336
22,FBtr0076814,FBtr0088935,FBtr0088966,FBtr0300611
23,FBtr0080038,FBtr0079228,FBtr0079696,FBtr0079946
24,FBtr0074666,FBtr0075098,FBtr0074351,FBtr0072672
25,FBtr0071107,FBtr0074348,FBtr0075230,FBtr0073940
26,FBtr0078471,FBtr0079156,FBtr0075229,FBtr0083087
27,FBtr0078468,FBtr0072909,FBtr0078316,FBtr0083155
28,FBtr0074908,FBtr0078847,FBtr0078311,FBtr0079978
29,FBtr0075140,FBtr0072791,FBtr0078342,FBtr0300053
30,FBtr0079540,FBtr0088785,FBtr0078309,FBtr0070841
31,FBtr0075913,FBtr0075761,FBtr0091777,FBtr0083483
32,FBtr0079546,FBtr0088784,FBtr0072795,FBtr0100547
33,FBtr0078631,FBtr0088783,FBtr0077815,FBtr0083831
34,FBtr0088410,FBtr0074411,FBtr0079697,FBtr0080875
35,FBtr0075142,FBtr0080561,FBtr0087519,FBtr0072663
36,FBtr0079536,FBtr0083378,FBtr0077829,FBtr0113400
37,FBtr0075927,FBtr0088909,FBtr0081550,FBtr0086076
38,FBtr0073651,FBtr0088028,FBtr0082098,FBtr0077085
39,FBtr0306841,FBtr0072972,FBtr0100619,FBtr0473625
40,FBtr0076603,FBtr0078725,FBtr0081062,FBtr0080060
41,FBtr0070499,FBtr0080569,FBtr0344481,FBtr0080296
42,FBtr0078484,FBtr0078769,FBtr0308125,FBtr0080042
43,FBtr0079490,FBtr0079155,FBtr0072168,FBtr0273321
44,FBtr0070481,FBtr0072798,FBtr0080461,FBtr0346948
45,FBtr0079523,FBtr0078672,FBtr0088116,FBtr0081780
46,FBtr0074511,FBtr0072889,FBtr0083038,FBtr0113033
47,FBtr0079525,FBtr0072797,FBtr0070076,FBtr0071342
48,FBtr0079559,FBtr0089128,FBtr0084302,FBtr0086184
