transcript_id gene_symbol gene_id
FBtr0005088 Pp2A-29B CG17291
FBtr0006151 Adhr CG3484
FBtr0070000 Nep3 CG9565
FBtr0070001 tRNA:Pro-CGG-1-1 CR32826
FBtr0070002 CG9570 CG9570
FBtr0070003 Or19b CG32825
FBtr0070006 aspr CG9572
FBtr0070007 Ech1 CG9577
FBtr0070008 CG9578 CG9578
FBtr0070025 AnxB10 CG9579
FBtr0070026 CG9581 CG9581
FBtr0070027 Phf7 CG9576
FBtr0070028 Rab35 CG9575
FBtr0070029 Or19a CG18859
FBtr0070032 fd19B CG9571
FBtr0070034 Dop2R CG33517
FBtr0070035 CG17003 CG17003
FBtr0070036 CG12655 CG12655
FBtr0070038 alpha-Cat CG17947
FBtr0070040 ND-MLRQ CG32230
FBtr0070041 ND-MLRQ CG32230
FBtr0070042 CkIIalpha CG17520
FBtr0070043 CkIIalpha CG17520
FBtr0070044 CkIIalpha CG17520
FBtr0070045 CG33217 CG33217
FBtr0070046 Vps11 CG32350
FBtr0070050 CG32819 CG32819
FBtr0070051 CG32819 CG32819
FBtr0070052 CG32857 CG32857
FBtr0070053 CG32820 CG32820
FBtr0070054 CG32820 CG32820
FBtr0070055 CG33502 CG33502
FBtr0070056 CG17450 CG17450
FBtr0070057 CG17450 CG17450
FBtr0070058 GCS2alpha CG14476
FBtr0070059 GCS2alpha CG14476
FBtr0070060 GCS2alpha CG14476
FBtr0070061 GCS2alpha CG14476
FBtr0070062 GCS2alpha CG14476
FBtr0070063 G9a CG2995
FBtr0070064 cin CG2945
FBtr0070065 cin CG2945
FBtr0070066 CG3777 CG3777
FBtr0070067 CG3777 CG3777
FBtr0070068 CG3777 CG3777
FBtr0070069 CG12470 CG12470
FBtr0070070 Or1a CG17885
FBtr0070071 y CG3757
FBtr0070072 ac CG3796
FBtr0070073 sc CG3827
FBtr0070074 l(1)sc CG3839
FBtr0070075 ase CG3258
FBtr0070076 CG13373 CG13373
FBtr0070077 CG32817 CG32817
FBtr0070078 CG3176 CG3176
FBtr0070079 CG3156 CG3156
FBtr0070080 CG17778 CG17778
FBtr0070081 svr CG4122
FBtr0070084 svr CG4122
FBtr0070085 svr CG4122
FBtr0070086 svr CG4122
FBtr0070087 svr CG4122
FBtr0070088 arg CG18104
FBtr0070089 CG4293 CG4293
FBtr0070090 CG4293 CG4293
FBtr0070091 elav CG4262
FBtr0070092 CG17896 CG17896
FBtr0070093 CG17896 CG17896
FBtr0070094 CG18273 CG18273
FBtr0070098 ebo CG3923
FBtr0070099 Cyp4g1 CG3972
FBtr0070100 Pgcl CG13374
FBtr0070101 CG32816 CG32816
FBtr0070102 CG32816 CG32816
FBtr0070103 CG13375 CG13375
FBtr0070106 CG13377 CG13377
FBtr0070107 CG3038 CG3038
FBtr0070108 CG3038 CG3038
FBtr0070109 Appl CG7727
FBtr0070110 vnd CG6172
FBtr0070115 CG13369 CG13369
FBtr0070116 Hinfp CG17829
FBtr0070117 Hinfp CG17829
FBtr0070118 Hinfp CG17829
