,assigned_cell_type
JW18DOX221117-1,JW18DOX
JW18DOX221117-2,JW18DOX
JW18DOX221117-3,JW18DOX
JW18DOX221117-4,JW18DOX
JW18DOX221117-5,JW18DOX
JW18DOX221117-6,JW18DOX
JW18wMel221117-1,JW18wMel
JW18wMel221117-2,JW18wMel
JW18wMel221117-3,JW18wMel
JW18wMel221117-4,JW18wMel
JW18wMel221117-5,JW18wMel
JW18wMel221117-6,JW18wMel
S2DOX221117-1,S2DOX
S2DOX221117-2,S2DOX
S2DOX221117-3,S2DOX
S2DOX221117-4,S2DOX
S2DOX221117-5,S2DOX
S2DOX221117-6,S2DOX
S2wMel221117-1,S2wMel
S2wMel221117-2,S2wMel
S2wMel221117-3,S2wMel
S2wMel221117-4,S2wMel
S2wMel221117-5,S2wMel
S2wMel221117-6,S2wMel
