,subtypes
JW18DOX221117-1,Interm. Tracheal Cells
JW18DOX221117-2,Interm. Tracheal Cells
JW18DOX221117-3,Interm. Tracheal Cells
JW18DOX221117-4,Interm. Tracheal Cells
JW18DOX221117-5,Interm. Tracheal Cells
JW18DOX221117-6,Interm. Tracheal Cells
JW18wMel221117-1,Interm. Tracheal Cells
JW18wMel221117-2,Interm. Tracheal Cells
JW18wMel221117-3,Interm. Tracheal Cells
JW18wMel221117-4,Interm. Tracheal Cells
JW18wMel221117-5,Interm. Tracheal Cells
JW18wMel221117-6,Interm. Tracheal Cells
S2DOX221117-1,Interm. Tracheal Cells
S2DOX221117-2,Interm. Tracheal Cells
S2DOX221117-3,Interm. Tracheal Cells
S2DOX221117-4,Interm. Tracheal Cells
S2DOX221117-5,Interm. Tracheal Cells
S2DOX221117-6,Interm. Tracheal Cells
S2wMel221117-1,Interm. Tracheal Cells
S2wMel221117-2,Interm. Tracheal Cells
S2wMel221117-3,Interm. Tracheal Cells
S2wMel221117-4,Interm. Tracheal Cells
S2wMel221117-5,Interm. Tracheal Cells
S2wMel221117-6,Interm. Tracheal Cells
