,cell_type
JW18DOX221117-1,ubiquitous
JW18DOX221117-2,ubiquitous
JW18DOX221117-3,maternal
JW18DOX221117-4,maternal
JW18DOX221117-5,ubiquitous
JW18DOX221117-6,ubiquitous
JW18wMel221117-1,ubiquitous
JW18wMel221117-2,ubiquitous
JW18wMel221117-3,ubiquitous
JW18wMel221117-4,ubiquitous
JW18wMel221117-5,ubiquitous
JW18wMel221117-6,ubiquitous
S2DOX221117-1,ubiquitous
S2DOX221117-2,ubiquitous
S2DOX221117-3,ubiquitous
S2DOX221117-4,ubiquitous
S2DOX221117-5,maternal
S2DOX221117-6,ubiquitous
S2wMel221117-1,ubiquitous
S2wMel221117-2,ubiquitous
S2wMel221117-3,ubiquitous
S2wMel221117-4,ubiquitous
S2wMel221117-5,ubiquitous
S2wMel221117-6,ubiquitous
