,tissue
JW18DOX221117-1,malpighian_tubule
JW18DOX221117-2,malpighian_tubule
JW18DOX221117-3,malpighian_tubule
JW18DOX221117-4,malpighian_tubule
JW18DOX221117-5,malpighian_tubule
JW18DOX221117-6,malpighian_tubule
JW18wMel221117-1,male_reproductive_glands
JW18wMel221117-2,male_reproductive_glands
JW18wMel221117-3,male_reproductive_glands
JW18wMel221117-4,testis
JW18wMel221117-5,testis
JW18wMel221117-6,male_reproductive_glands
S2DOX221117-1,head
S2DOX221117-2,head
S2DOX221117-3,head
S2DOX221117-4,head
S2DOX221117-5,head
S2DOX221117-6,head
S2wMel221117-1,head
S2wMel221117-2,head
S2wMel221117-3,head
S2wMel221117-4,head
S2wMel221117-5,head
S2wMel221117-6,head
