,annotation
JW18DOX221117-1,adult Malpighian tubule principal cell
JW18DOX221117-2,adult Malpighian tubule principal cell
JW18DOX221117-3,adult Malpighian tubule principal cell
JW18DOX221117-4,adult Malpighian tubule principal cell
JW18DOX221117-5,adult Malpighian tubule principal cell of lower segment
JW18DOX221117-6,adult Malpighian tubule principal cell of lower segment
JW18wMel221117-1,ejaculatory bulb
JW18wMel221117-2,ejaculatory bulb
JW18wMel221117-3,female reproductive system
JW18wMel221117-4,female reproductive system
JW18wMel221117-5,female reproductive system
JW18wMel221117-6,female reproductive system
S2DOX221117-1,artefact
S2DOX221117-2,artefact
S2DOX221117-3,unannotated
S2DOX221117-4,artefact
S2DOX221117-5,unannotated
S2DOX221117-6,artefact
S2wMel221117-1,artefact
S2wMel221117-2,artefact
S2wMel221117-3,artefact
S2wMel221117-4,artefact
S2wMel221117-5,artefact
S2wMel221117-6,artefact
