,annotation
JW18DOX221117-1,unannotated
JW18DOX221117-2,unannotated
JW18DOX221117-3,unannotated
JW18DOX221117-4,unannotated
JW18DOX221117-5,unannotated
JW18DOX221117-6,unannotated
JW18wMel221117-1,unannotated
JW18wMel221117-2,unannotated
JW18wMel221117-3,unannotated
JW18wMel221117-4,unannotated
JW18wMel221117-5,unannotated
JW18wMel221117-6,unannotated
S2DOX221117-1,unannotated
S2DOX221117-2,unannotated
S2DOX221117-3,unannotated
S2DOX221117-4,unannotated
S2DOX221117-5,unannotated
S2DOX221117-6,unannotated
S2wMel221117-1,unannotated
S2wMel221117-2,unannotated
S2wMel221117-3,unannotated
S2wMel221117-4,unannotated
S2wMel221117-5,unannotated
S2wMel221117-6,unannotated
