,CC,GST-rich,LM,PH,PM
JW18DOX221117-1,0.42599904944279726,0.0005615602608813751,0.5734393902963214,0.0,0.0
JW18DOX221117-2,0.4263002944065682,0.0,0.5736997055934319,0.0,0.0
JW18DOX221117-3,0.4287398222132921,0.00010373456738814747,0.5711564432193197,0.0,0.0
JW18DOX221117-4,0.42512787796357754,0.0,0.5748721220364225,0.0,0.0
JW18DOX221117-5,0.4266296089811549,0.0,0.573370391018845,0.0,0.0
JW18DOX221117-6,0.4117204862155569,0.00028941450341188227,0.5879900992810312,0.0,0.0
JW18wMel221117-1,0.41134074079627714,0.0,0.588659259203723,0.0,0.0
JW18wMel221117-2,0.4171764794217174,0.0,0.5828235205782825,0.0,0.0
JW18wMel221117-3,0.41466371140756025,0.0,0.5853362885924398,0.0,0.0
JW18wMel221117-4,0.41580162369195756,0.0,0.5841983763080424,0.0,0.0
JW18wMel221117-5,0.4121381801618299,0.0,0.5878618198381702,0.0,0.0
JW18wMel221117-6,0.41232728668175217,0.0,0.5876727133182478,0.0,0.0
S2DOX221117-1,0.39453828999464496,0.0,0.6054617100053552,0.0,0.0
S2DOX221117-2,0.39402336199191634,0.0,0.6059766380080837,0.0,0.0
S2DOX221117-3,0.39694925943012693,0.0,0.6030507405698731,0.0,0.0
S2DOX221117-4,0.39769498272426484,0.0,0.6023050172757353,0.0,0.0
S2DOX221117-5,0.39386595119651596,0.0,0.606134048803484,0.0,0.0
S2DOX221117-6,0.3941656169309626,0.0,0.6058343830690375,0.0,0.0
S2wMel221117-1,0.4023120834813804,0.0,0.5976879165186196,0.0,0.0
S2wMel221117-2,0.400108576627867,0.0,0.599891423372133,0.0,0.0
S2wMel221117-3,0.39348121497988137,0.0,0.6065187850201187,0.0,0.0
S2wMel221117-4,0.3951537050648658,0.0,0.6048462949351341,0.0,0.0
S2wMel221117-5,0.39385707873418185,0.0,0.6061429212658181,0.0,0.0
S2wMel221117-6,0.39734834452509565,0.0,0.6026516554749043,0.0,0.0
