,CC,GST-rich,LM,PH,PM
JW18DOX221117-1,0.42202505451655004,0.03813850897286603,0.6908482437079779,0.0,0.0
JW18DOX221117-2,0.4222851192833255,0.03545086913134598,0.6948406662685491,0.0,0.0
JW18DOX221117-3,0.4247221564033768,0.035358985293107686,0.6925901590802978,0.0,0.0
JW18DOX221117-4,0.4212131596536976,0.033134611713498706,0.6944115244082413,0.0,0.0
JW18DOX221117-5,0.42267711462127244,0.034577925102134886,0.6929397459521253,0.0,0.0
JW18DOX221117-6,0.4078881292609985,0.0373841051337715,0.7003573298784498,0.0,0.0
JW18wMel221117-1,0.4078406029100085,0.0,0.7251646367681985,0.0,0.0
JW18wMel221117-2,0.41372407806212547,0.0,0.7174671736023686,0.0,0.0
JW18wMel221117-3,0.4112512847356043,0.0,0.718420928798721,0.0,0.0
JW18wMel221117-4,0.41231809451402357,0.0,0.7200560142474681,0.0,0.0
JW18wMel221117-5,0.4086546883412005,0.0,0.7237180008427165,0.0,0.0
JW18wMel221117-6,0.4088614689408219,0.0,0.722839605214528,0.0,0.0
S2DOX221117-1,0.3923394284265115,0.0,0.6912173111625599,0.0,0.0
S2DOX221117-2,0.39189020598780483,0.0,0.689169722168432,0.0,0.0
S2DOX221117-3,0.394792988552264,0.0,0.6871453048065265,0.0,0.0
S2DOX221117-4,0.3955158649010966,0.0,0.6872906123792969,0.0,0.0
S2DOX221117-5,0.3916851749440581,0.0,0.6911843226493424,0.0,0.0
S2DOX221117-6,0.3919547631227821,0.0,0.6920576815880771,0.0,0.0
S2wMel221117-1,0.40017827426000724,0.0,0.6809064761521737,0.0,0.0
S2wMel221117-2,0.3979680446891693,0.0,0.6833721689813413,0.0,0.0
S2wMel221117-3,0.3913856967616712,0.0,0.6882439955303169,0.0,0.0
S2wMel221117-4,0.3930974436727441,0.0,0.6850404892278822,0.0,0.0
S2wMel221117-5,0.39173526270795556,0.0,0.6888937462886432,0.0,0.0
S2wMel221117-6,0.39529302758190216,0.0,0.6828090162594508,0.0,0.0
