,CC,GST-rich,LM,PH,PM
bowl,0.0007440449163332642,-0.0035132549993545105,-0.004500367506480974,0.005388383167073591,0.004467784788348044
rho,-0.0033764592360493247,-0.015614983448780463,-0.0012131469056334597,0.02149414815746887,-0.005977479987978143
GstD1,0.01870115320927884,0.057748897378394067,-0.005683395777321562,0.017963569888172035,-0.023911423193705837
CG10051,-0.00026114956820811794,-0.0006993236725282299,4.393907956497073e-05,-6.638836978102838e-06,-0.00024513450582790494
CG10062,1.8234003473846704e-05,4.2981445444522235e-07,2.6823342575903406e-05,0.00012642502761008945,-0.0002623031151950974
CG10063,8.940258145152622e-05,0.0002694871980763728,-0.0007662087238850722,-6.96470975272319e-06,-0.001015522993907966
CG10064,-0.0001382178692979425,-0.001094297104764295,-1.7364960232187422e-05,0.0004650884899514594,-0.00025024792571979383
Act57B,-9.312289810639277e-05,-0.002640770521428464,-0.010608433871993284,-0.0010626003144509272,0.018458027872020465
spir,-0.0017387527636809324,0.10828974867517413,-0.0047831966441398135,-0.05427777466669319,-8.860753001318896e-05
Tsp42Ee,-0.007608932590993866,-0.0435018339944199,0.0030162690590999704,-0.018710543693612525,0.012670715396105828
Men,-0.018226528192996142,0.0879784830601771,-0.003979785801134669,-0.011278373282571556,0.0562668479247246
SP1173,-0.0002647398111490335,-0.0024466208804639383,-0.002046706782668637,-0.00019831046502003966,-0.00093256925420308
CG10126,0.0031590006984810654,-0.008928245791816364,0.01739807707207567,0.008971374813102177,0.0018055748167448765
Had2,-0.0027621835945237402,-0.013741487216560669,-0.008842256348586203,0.013809570949937648,-0.015038634012761594
PpD5,4.37126838994204e-05,0.00011263218477960778,-0.00022675649401665725,0.0006421195753412662,-0.00035726583231460076
Ance-5,-0.0018157217673516741,-0.008135552025758781,-0.009274981707375502,-0.05883309242945175,0.0019613687340621503
Ldh,0.0034322127503834646,-0.0036170738611441444,-0.007098865500017717,0.0024020401147959018,-0.003058921239915168
CG10184,6.541015230167648e-05,-0.01756391498136017,-0.0038149722432138096,0.012911678138193501,-0.0015706040187008906
Hasp,-0.0001020736496818982,-0.0003864026458620643,-0.0002016783543871437,0.0016445294034971413,-0.0031051793964347986
Mlp84B,-0.00025247705780435123,-0.001871960980312621,-0.001453994224165924,0.0028984924672184977,0.005716600512329987
udt,-0.0004303880445750096,-0.010815523635906358,-0.010671974325574462,0.01102017765668407,-0.003944356430646407
CG10232,0.002995187860624073,-0.006606979156561115,-0.013079943429296593,0.005330073052775271,0.00448865379098563
LanA,-0.012746083458528365,-0.040658272490426244,0.009195270348626067,-0.06282505328299991,-0.025376534100150568
CG10237,-0.00015855606031387517,-0.0005804091603383167,-0.00011667180439175456,0.0011135055426010315,-0.00042561493530858703
Kank,-0.005484645315826572,-0.022831697833357152,-0.001847282384898475,0.005303547653006997,-0.011081321027231137
CG10359,0.002938146554181546,-0.005772402731170268,0.027788776315423015,0.0032018775631040795,0.007012104809752746
ref(2)P,-0.0019401417078355543,-0.024464388891576955,-0.010723525398829774,0.02454911839443378,0.00978684125325275
Tep4,0.003100928333469147,0.12025719234435442,0.003988710145621607,0.032335205774536205,-0.004368372778173432
CG10433,-0.0006453459615857137,-0.006687634300372384,-0.008621904263757234,0.012021320287111175,-0.0014832839921855967
cer,-0.00887536607842753,-0.05110161645912148,0.0031301553823255175,-0.00539336195723939,0.0033583699607655677
CG10467,-0.002452734949092618,-0.016488065865961105,-0.0006387018002815015,0.008348835323396905,0.08060988319194606
CG10469,-0.0009225496358053975,-0.009270888883847205,-0.0019254165615684511,0.004067822655739156,0.1167547892061958
CG10472,-0.00035510250063052455,-0.0004711546893745979,-0.0003146612926736899,0.014796720450024852,-0.0017254799943093187
Sdc,7.607995246756676e-05,-0.005100479048782656,-0.004648178955359382,0.010925539756118548,-0.0008557182787842669
CG10510,-6.038187711650788e-05,-0.0003786030627044551,-0.00047431940756449876,0.001069691007526221,-3.4387358825829985e-06
CG10516,0.0006870384275149438,-0.009914332696032728,0.00163943274217298,0.006955206666077667,-0.0036010450857625266
NetB,-0.00033785043461370044,-0.00039471496836808104,-0.00011324822918967871,0.0010712136706596965,-0.004529944731498154
Rdl,-0.0005206387502108818,-0.0016253333999521435,-0.0002759219240621537,0.001038451914645939,-0.0015160147793062287
Ac78C,-0.0001926340109447807,-0.035255143172013205,0.01786091866618272,0.01907112441592831,-0.0035291297384486757
DnaJ-1,-0.0036524330070175966,-0.039643699507889,-0.008061224443906553,-0.034583012052010566,0.013958780861247293
mirr,-0.0003110934588180174,-0.0008083725893804629,-0.0004409307622272369,0.00019762451583637744,-0.002343769953254534
CG10602,-0.010012698133261569,-0.0490348608450734,-0.013545824197352306,-0.016020797099645902,0.046068160612631026
CG10621,-0.00065085655962393,-0.010163263327941648,-0.0015628507225357512,0.0027042789578543953,0.07575178267738107
CG10623,-0.0007069035708091219,-0.005710928919730432,-0.002289269545554133,-0.007213956372374564,0.06395165895143348
sinu,0.0006314470902577444,-0.00574342456858249,-0.008906838271895532,0.004025121400554564,-0.0008718861999848195
frm,-0.0003256381207740693,0.00012625671526830012,-0.0006605317035703819,-0.00034123400746955497,-0.0023843744190285908
blanks,-0.00025341014267692467,-0.00020186329511453764,-0.0007255821928513923,-0.0013599088035280535,-0.0021119904136984204
CG10663,0.0008437672377952561,-0.001077260353209215,-0.001836279797575924,0.0009289932711154944,-0.0011841334693910267
Ddc,0.0002201339941755904,-0.0030759445547169162,-0.00024526495891435,0.00989963526172424,0.00013985447156746137
brat,-0.018559379843968656,0.1385255817282919,-0.00409152395911485,0.00146218596625997,-0.014854352582844463
CG10734,-0.0007170543453308977,-0.0009549081935413516,-0.0006625179257244562,-0.0004717014656841889,-0.0017172250627270267
CG10764,-0.007168510783728097,-0.048940288476657365,0.018447295007163203,0.01576832892404173,0.012913742008182695
Myc,0.018765520768701104,0.0550944050797106,-0.008805374589006758,-0.027789694485873772,0.004399556257053159
CG10804,-4.7249493217116584e-05,4.7445551990261785e-05,-0.00044937139043570916,0.0007418758053279422,-0.001409947350644709
Nha1,-0.00016552103058332623,9.810773371940094e-05,4.1507593527294005e-05,-7.023524033284498e-05,-0.0005610083028241805
Drs,-0.0001385459969081137,-0.005211094091668386,-0.0022058599660928083,0.024723835012905284,0.0007831599409661948
Alp5,-9.394048945948494e-05,0.0006787926745543556,-0.0005232683741718248,-0.00039482632096886025,-0.00041651103784046774
CG10834,7.95372073348514e-05,-0.00013357789468717904,-0.0002895177795586994,0.0006271362441410006,-6.061097172515328e-05
CG10859,-0.0001357107404034651,-0.0007785406967847287,-0.0003881093682012546,-0.0006187771584853478,-0.0011784975983145792
orb,-0.0006216742967267754,-0.0023009008813735464,-0.0007332878841702954,0.0027644219067132695,-0.001161128943173067
CG10919,5.691031467511921e-05,0.0001094004366578525,-0.00017231806781568,0.0002600518459575784,-0.0004485944282875704
CG1092,-0.006822479310851053,-0.03360926436559015,0.006368593979747652,-0.03308528562027943,-0.006340312425798697
CG10939,-0.00876480819451376,-0.00999337905939006,-0.001864619911405847,0.004366762507451129,0.0013008996111946818
CG10996,0.00014155664113525896,-0.0003519512134902953,-0.00040252791713073693,0.000213893982118643,-0.00014634384561782997
CG11018,8.544259086103318e-05,-0.00013030652018069478,-0.0002484829688160813,6.132933373860685e-05,-0.0001342201581844728
cl,0.005407992012664974,0.0477028945192471,0.018060618740239412,-0.015988410989869573,0.004412359096085997
Nplp2,-0.0036933638404917464,0.012947730733590254,-0.003553174828945197,-0.012677187143751415,5.9685869185295246e-05
apolpp,0.00030238903982364804,-0.0034135558563686756,-0.00929846244566463,-0.008520476284107348,-0.008515005618250526
scaf,0.002735731022329907,-0.0066021320931527626,-0.01649189265277378,0.006162362495055073,-0.0035176805839894905
Gadd45,0.009214086897086556,0.06530079449909233,-0.005524991827685017,-0.08049369322946338,-0.0010030086760599887
rdgB,-0.0011919490786060172,-0.013023947777293021,0.004596833652394251,0.010655736668253164,-0.003988397560249448
Inos,0.01345759179984704,-0.04787724919399766,-0.010036888701927172,-0.0351774765463391,-0.016519916280808494
azot,1.4768945089325426e-06,0.0002368517286480635,-0.0004317496646821237,0.0001053856679518361,-0.0010389333516357179
toy,-0.0008978772935609834,-0.0017732117911334346,-0.00034436393627897095,0.00017694635385388435,-0.002840191157235138
CG1124,0.0001742130198918807,0.0001059634038544911,-0.0009049909782161856,0.0012600804876225632,-0.001437021987115064
Syx13,-0.005321141241569456,0.05294676377187201,-0.013630822061136293,-0.02664896298053192,0.0042920077640002975
scrt,-0.000262368746700438,-0.00026570102494189433,-0.0002422588390038195,0.0003736248853397371,-0.006077896514513229
CG11313,-3.2372354342192504e-05,-0.0005245822666865463,-0.0010030091426695847,-0.0002413769382872204,-0.001442819769088064
CG11353,-0.00606251349551419,-0.014415896662341396,-0.014145330056418447,0.015080929370516903,-0.0008940028803781001
galectin,0.0026469445745963133,-0.016358593740504933,0.003022249198935476,0.016012867357162234,-0.005207390041623037
CG11379,0.00013405818546602185,-0.0001592956295236044,-0.0006991991769104269,0.00029573383063754633,-6.212351384141305e-05
Gbp2,0.0026866253615249794,-0.004826470328387752,-0.010046986980825014,0.001234610718646198,-0.002841021895299907
CG11400,0.001740561418696612,-0.0048416511516700175,-0.003754727941039103,0.002947842134284777,-0.003064277124652149
CG11426,0.001769290199686441,-0.005445333649123706,-0.0032688567225331827,0.0025739335681714505,-0.002492438558144986
CG1146,-0.00220036860117942,-0.01528459483727763,-0.002186933302023429,0.02223252135683352,-0.005391824434335614
Tig,-0.006690345853897286,-0.023562352510535543,-0.003982155731234071,-0.04428477497281073,-0.006814982658089113
Asator,-0.001979930314761183,-0.01306868279902709,-0.0066441962336836365,0.0073337659709473675,-0.005239765619273932
Tim17b1,6.130800587861768e-05,0.0001873372763670377,-0.00042892554522181163,0.00013887832798691258,-0.0002232136291050586
nkd,-0.0008821324724795007,0.004592953242104621,-0.0006797775531231911,0.002628605613080347,-0.0031442009440175757
CG11635,0.00010188260533852942,7.950616770584787e-05,-0.0005364435006264842,0.00017205628708374504,-0.0005237996403931135
CG11656,5.3897583124182705e-05,1.0998096694038009e-05,-0.00014345862780360067,0.00018667675661132943,-0.0006435981253752232
CG11666,0.00020377842976336186,-0.0007799569835651088,-0.0002543044485377585,0.00023822312876742082,-0.00022928314328700283
Ras64B,-0.0007485323092167237,0.07352327979828693,-0.004165769642447287,-0.03712256859341898,-0.006151695992613524
CG11686,0.026152108173051296,-0.05297663878376985,0.012220219265404371,-0.027837350961962857,-0.005981924453241658
PGRP-SA,0.05384796381469141,-0.0393133183676764,0.00312766400353864,0.021279777046095474,-0.0027126443455610773
CG11726,0.00011642192346950395,-0.00019611758067973145,-6.891695481518382e-05,0.00020171313027900686,-0.000291406274901418
Prx2540-2,-0.0010395774215110661,-0.007788958481364671,-0.002529665150890298,0.011856906637272221,0.00013482721600067288
LysB,0.0001001283196706444,2.8976443214480154e-05,-0.0004978957814594521,-0.0005036213651215816,-0.0006796935850005817
chn,-0.008453016988804173,-0.024568552869774,-0.0038161126077992276,0.020609413629897575,-0.00759270242014509
ced-6,-0.005619933901292096,-0.034264108371570054,-0.008598800739313645,-0.007466795667940979,0.007076976728175377
nAChRbeta3,0.02149350701658136,-0.051168364398726525,-0.003208194198210053,-0.03440369058557313,-0.011184989932179168
CG11852,-2.3294204371266324e-05,0.0003572395461678737,-0.00010966269909685976,5.418643323934747e-05,-0.001638092314573068
CG11893,-0.00035666105436323,-0.0008529664387268757,-0.0010746395969285342,-0.0006100506498915518,-0.00128426021186205
rha,-0.00011785049113119206,-0.00018884391716683917,-0.0007000735808686449,0.0008680416091718989,-0.0015653650821391082
CG11911,3.2309090129947165e-05,0.002414489127429672,-0.0008020303268468802,5.793956352454566e-05,-0.0013730232969126897
CG11912,-5.335875389412244e-05,0.0005134615194327133,8.095895541833648e-05,3.979600183583298e-05,-0.00029703328016072913
CG11929,-2.716724148714975e-05,-0.00041713249305172945,-0.0005635423037795817,-7.76675802878067e-05,-0.001138428335507955
Pxn,-0.012332967044382833,-0.04209238889458037,-0.00542331767452547,-0.05969916305599389,0.0022525893237865234
kst,-0.012035338528459734,0.03355435838568663,-0.002099775619761214,-0.019411452969912566,0.0014851852506666435
CG12012,0.036932400381037234,-0.03880084937121099,-0.0016000726958859182,0.003726617232878057,-0.002830502006041645
PHGPx,-0.011217911284400332,0.023686630194753595,0.0053322002880178705,-0.00922943659709889,-0.005964694562185798
CG12020,0.00011123343100730333,-0.00028390433573583196,-9.814928938288503e-05,0.0020488225862456905,-0.0008076440526087449
Act42A,0.005323800377502713,-0.11934632239597083,0.012299847984256559,0.010995259708941493,-0.04921645060550829
Gapdh1,-0.01663553643650548,0.053436815852334174,-0.01009129479181013,0.030605184386856516,-0.011357822763539855
CG12078,-6.026024149457778e-05,-0.0008008559460606654,-0.0004590850247580112,0.00035589389793453546,0.0005246229758695275
CG1208,0.0028725497771459694,-0.007933120277826377,-0.012306215193711915,0.004620834969593218,-0.004266771423662945
CG12116,-0.00021584535714789933,-0.0008081649189755027,-0.0015159123267110069,0.0016091331463656355,-0.007155615738439314
CG12133,-0.006405932016680864,0.05694296993122084,0.031612723633498804,0.015738204313978064,-0.003399436472288674
oc,-0.0002877454774328803,-0.0009333231046514644,4.097497844841702e-06,-0.00017765578303222148,-0.0029236898244435357
Ppm1,-8.076705410006278e-05,0.00025231568870480247,-0.00032816939044316603,0.00031434331942564584,-0.0008061719108442618
CG12177,-0.0006936519977686242,-0.004033978956564527,-0.0019040036720238836,0.015865314395031457,0.025089624495098804
Syb,0.01672975920531128,-0.03441660260991719,0.010663126789299364,-0.0028668056710007884,-0.0036559166784970757
peb,0.00025135083898361095,-0.0024888915908439285,-0.0003260426105912985,0.0006231771559243807,0.14939897419992051
GstD5,-0.0013154464855719265,-0.002108706548022572,-0.0014159274069043858,0.0033056198722271,-0.0005912676612955839
mira,-0.00014408883527135618,-0.0015298112501225408,0.00010417510332377605,0.003581840646912182,-0.0025187963514595782
ymp,0.004325874350581115,-0.010644279677726532,0.03664461702386119,0.01990135551088236,-0.003638827180085702
Mcad,0.0008024160910703405,-0.015042895101866712,0.0032842235467559866,-0.0022176561651310682,0.0047830442833402065
kek1,-0.0036073065450799423,-0.018414765719904184,0.0015104858622417324,-0.013133222975231411,-0.011104184104405002
kar,-0.0009966493421719768,-0.0028839886824880245,-0.003159318754647899,0.007948424795362535,-0.003757894169278034
CG12290,-0.007411416994624969,-0.029626294641237366,0.005226198630997353,-0.033091550149015096,-0.00184638182140241
klu,-0.009271684465543694,0.18167894331860746,-0.000334322393032817,0.01571938000502989,0.04576293847442012
CAH13,0.00014068399263299534,3.887611195710647e-05,-0.001615312898119664,0.0004216862926810893,-0.0008696105140987805
Sh,-0.0002993790725619762,-0.0029215702305635913,0.0002637964466615617,0.0017212866449468345,-0.005534053402045987
Prx2540-1,0.0001929256552244726,-0.002936132002720082,-0.019121637245528,0.0018830408016743373,-0.0022176293499816878
CG12470,9.159095186127345e-05,-0.006775377389322696,-0.0015937990891722181,0.005115870364763137,-0.0035671745034695688
CG12493,-2.5173400764288296e-05,0.0006419481439106131,-0.00030137602330499764,1.770469667801679e-05,-0.001260714065768748
stnA,1.6798852050694283e-05,-0.0017575345331433715,-0.0002299658103194577,0.0013241967282676228,-0.0037496529950756296
Arc1,0.016027740109017027,0.04503839972076958,0.006505226495861439,0.031751799015441395,-0.002662599379418343
CG12516,2.9468804772643652e-06,8.971078286601014e-05,-0.00015879377294218745,-6.911473139920058e-05,-0.00035154861995385656
pav,-0.004197157898483955,-0.024046841388379574,-0.003982667596712064,0.012854141851416336,-0.008152946123614732
CG12605,-1.452453175014565e-05,0.0005361243784843533,-0.00046981004744669076,0.0005487731395038728,-0.004006349587230988
CG12617,2.0141319501745442e-06,0.000247945038684637,0.0001303815972201084,0.00010655398923232012,-0.000985920538267531
CG12655,0.002979061208352637,-0.005833081872545359,0.007434484718329523,0.0032015368005165763,-0.002347530747281278
boil,-3.472566315929231e-05,-0.0013427568147410392,-0.0001528250987771136,-0.0005038681085512405,-0.0002309746196832923
CG12684,0.00011506134927405357,-0.0002931597587227988,-0.0002305476479212372,0.0006068932629331999,-0.00017001469276079528
CG12689,4.0431599569707426e-05,0.00036823267196891163,-0.00035469260028891833,0.0001354571663183886,-0.0005135195225287477
CG12692,5.5689660575694684e-05,-4.2127090679405755e-05,-0.0001534077375110357,0.00015803706194874312,-4.645080467655465e-05
zld,1.5815585932043963e-07,-0.0012107150640371254,-0.000596271666307855,0.004013264602508479,-0.003808798633787468
sano,0.00022873972419654382,-0.010710047852100769,0.056166390680875186,0.01472074147242843,-0.000824853872015722
nahoda,-0.0006601414617087805,-0.0023474361328532306,-0.0004321272089428461,0.004962155025172578,-0.0007269204976600751
hoe1,-0.0007701960610802944,-0.0028365144412581937,-0.0025291704501761935,-0.06408746440414421,-0.016937380060347798
Rtnl2,-0.00011258586627420507,-0.0006231207710854823,-0.0007451641965415723,0.0008129959897002016,-0.000793801627131553
CG12814,-0.0005777375986924771,-4.004194506168028e-05,-0.0005313308580645355,0.0021741378130428076,0.000458639626476989
Tsp42El,0.0012893451619990198,-0.005740519479855794,0.011157550440958494,0.0056336390029822405,0.001486160937500325
Tsp42Ef,0.00031544555014858866,-0.000963177466359427,-0.0030151926016670724,0.005459180211785012,-0.004337436564806969
Tsp42Ed,0.002262176806002697,-0.007647036313993221,-0.008067594008405685,0.0043047383906779065,-0.00323201256669453
CG12857,-0.00011565544051293376,-0.0007143193148646489,-0.0003790525265395878,0.0006317730116694049,-0.0004311753918753114
CG12868,-0.00012093818601312796,-0.014455812788533815,-0.012515817937545293,0.002903844483558864,-0.0052697827232494965
CG12896,-5.262133980844022e-05,-0.0015223876068056882,-0.0019005639060573139,0.01213477711315322,-0.0011035568673416671
CG12910,0.004187509774587877,-0.010859932183702318,-0.002622793146787842,0.0053920321677614165,-0.0018576559571116572
egr,0.00030148350614323574,-0.0020525573148646834,-0.005939039813989135,0.009596181632497052,-0.002794853403764485
Whamy,0.0031283469892569283,-0.012048702250511913,-0.008734107981118233,0.004875937865924702,-0.0043108521597744025
CG12947,0.00045137088714045044,-0.007121283284723617,-0.011502808096895646,0.004713103675741657,0.002605904983123927
kune,0.0021617051481501283,-0.011126590796520458,0.016743841195881907,0.009992064349753397,-0.00280317900487254
CG12983,3.908216958473416e-05,2.8755489669794314e-05,-0.00023377221459498396,0.0004212614967029291,-0.0007767833705357634
CG12991,0.0016159319682032237,-0.004801782150261807,-0.011508965031531832,0.0021275555784564205,-0.00313259597584526
CG13032,-7.058235386680678e-05,-0.00023900259904117348,-0.0003404697230236635,0.00046853581004573764,-0.00013853141838194663
CG13077,-0.0029342412784954196,-0.015413814110959507,-0.0014847190944615532,0.010131198986492848,0.03249868042988442
CG13117,0.011012427788379528,-0.03345584080469156,0.01435497921592333,0.04899564478276504,-0.01604562652689947
CG13168,-3.894695351867533e-05,-8.697839412700183e-05,-0.0006571424766820906,0.00015369119671477757,-0.0008196596651556465
pyr,0.00027847446831382193,-0.009652862314523246,-0.008289291034900744,0.022188449151227498,-0.004328736841917357
CG13315,-0.00172271951654011,-0.021089549623304935,0.02505801044361066,0.011825820078354227,-0.004046698816595954
CG13337,3.5368817707347815e-05,0.00019878404416933982,-0.0007712762023231749,0.013257401528895995,-0.0009534482342433426
CG13360,-7.341088460407523e-05,-0.00011447104963834841,-0.0007517228825751508,0.0013268626406378024,-0.005764123699910514
hydra,8.043185553411934e-05,0.00017195780217493843,-0.0005122485687222559,0.00011197097319574536,-0.0007730316867810225
CG13442,9.968316298024626e-05,6.7447608987652e-05,-0.0006240064022704195,-1.5954999857123494e-05,-0.00034543966631841815
CG13482,-0.0012561278379829783,-0.015606179509125772,-0.0036040735710989144,0.001582665371501112,-0.0017776792709626647
