,Malpighian tubule,amnioserosa,anlage in statu nascendi,brain,brain primordium,brain ,cellular blastoderm / pole cell,crystal cell,ectoderm anlage,ectoderm anlage in statu nascendi,ectoderm primordium,endoderm primordium,epidermis,epidermis primordium,epidermis ,fat body,foregut / hindgut / anal pad,foregut / hindgut primordium,germ cell,glia,hindgut / anal pad,hindgut primordium,maternal,mesoderm primordium,midgut,midgut primordium,midline primordium,muscle,peripheral nervous system,peripheral nervous system primordium,plasmatocytes,plasmatocytes anlage,procrystal cell,proventriculus,salivary gland,salivary gland body primordium,salivary gland primordium,sensory nervous system,sensory nervous system primordium,somatic muscle,somatic muscle primordium,spiracle (tracheal system),spiracles (tracheal system),tracheal primordium,tracheal system,trunk mesoderm primordium,ubiquitous,unknown,ventral nerve cord,ventral nerve cord primordium,ventral nerve cord ,visceral muscle,visceral muscle primordium,yolk nuclei
JW18DOX221117-1,0.0,0.0,0.030284701439067124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3366235039078657,0.0,0.0,0.0,0.33501286085222304,0.0,0.0,0.0,0.0,0.15372956764716172,0.0,0.0,0.13401048741363433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01033887874004789
JW18DOX221117-2,0.0,0.0,0.033152264067938926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3320332549994345,0.0,0.0,0.0,0.3395162823475188,0.0,0.0,0.0,0.0,0.1493367243947733,0.0,0.0,0.13467146435279975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011290009837534738
JW18DOX221117-3,0.0,0.0,0.03524771992106943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198943950711869,0.0,0.0,0.0,0.3469791743200381,0.0,0.0,0.0,0.0,0.15010003156542084,0.0,0.0,0.13548286933696868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012295809785316067
JW18DOX221117-4,0.0,0.0,0.03939569280648648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3096234874065506,0.0,0.0,0.0,0.3506053761042216,0.0,0.0,0.0,0.0,0.1513128950266345,0.0,0.0,0.13505353277100404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014009015885102649
JW18DOX221117-5,0.0,0.0,0.03463027013393866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3334085674333141,0.0,0.0,0.0,0.337104871340891,0.0,0.0,0.0,0.0,0.1497859088789964,0.0,0.0,0.13401222790454723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011058154308312673
JW18DOX221117-6,0.0,0.0,0.03478714847646579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32402748700988154,0.0,0.0,0.0,0.34403730693610957,0.0,0.0,0.0,0.0,0.15281177675028781,0.0,0.0,0.1340684635033854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010267817323869853
JW18wMel221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356900142399464,0.0,0.0,0.0,0.3139944266282483,0.0,0.0,0.0,0.0,0.16818780972102845,0.0,0.0,0.152269566640916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008648054610343344
JW18wMel221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3698908244590013,0.0,0.0,0.0,0.30587415253707445,0.0,0.0,0.0,0.0,0.16539385421461375,0.0,0.0,0.15178630454195968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007054864247350712
JW18wMel221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408274034056424,0.0,0.0,0.0,0.31943506710015357,0.0,0.0,0.0,0.0,0.1793367777134969,0.0,0.0,0.15202992993341485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008370821847292341
JW18wMel221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543871241170056,0.0,0.0,0.0,0.3127967735291457,0.0,0.0,0.0,0.0,0.17114187721993235,0.0,0.0,0.1534150347568732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008259190377042973
