flybaseCG	module	DE_condition	padj
CG10007	5	celltypeJW18.infectionwMel	3.11628848093638e-35
CG10042	5	celltypeJW18.infectionwMel	4.08891677965872e-43
CG10084	5	wMel_vs_uninf	3.90584225465869e-89
CG10123	5	celltypeJW18.infectionwMel	5.89898941147681e-45
CG10144	5	celltypeJW18.infectionwMel	1.95553912803535e-10
CG10194	5	celltypeJW18.infectionwMel	1.59277708242215e-34
CG10208	5	celltypeJW18.infectionwMel	2.25407260945907e-08
CG10210	5	wMel_vs_uninf	1.42126834802836e-32
CG10219	5	celltypeJW18.infectionwMel	6.81879600482893e-12
CG10223	5	celltypeJW18.infectionwMel	5.67347047645384e-200
CG10234	5	wMel_vs_uninf	5.27719898729187e-25
CG10326	5	celltypeJW18.infectionwMel	2.47296622499507e-22
CG10333	5	wMel_vs_uninf	1.6100058334701e-37
CG10360	5	celltypeJW18.infectionwMel	6.17763625550499e-43
CG10370	5	wMel_vs_uninf	4.94774748617455e-11
CG10406	5	celltypeJW18.infectionwMel	2.19625452148702e-06
CG10428	5	celltypeJW18.infectionwMel	4.29833093749459e-15
CG10473	5	wMel_vs_uninf	4.45604930347308e-19
CG10504	5	wMel_vs_uninf	7.61880850604369e-17
CG10520	5	celltypeJW18.infectionwMel	8.73361356945843e-05
CG10535	5	celltypeJW18.infectionwMel	1.73056884491607e-80
CG10572	5	celltypeJW18.infectionwMel	7.8361161506094e-05
CG10600	5	wMel_vs_uninf	2.30560570618719e-56
CG10628	5	wMel_vs_uninf	3.71637449567487e-09
CG10637	5	wMel_vs_uninf	1.90464161648305e-28
CG10679	5	celltypeJW18.infectionwMel	5.08807547908689e-12
CG10689	5	wMel_vs_uninf	5.51241568220958e-22
CG10691	5	celltypeJW18.infectionwMel	1.18993984964775e-100
CG10739	5	wMel_vs_uninf	6.78296902735123e-29
CG10809	5	wMel_vs_uninf	5.91836421231201e-11
CG10903	5	wMel_vs_uninf	1.29033162670119e-32
CG10927	5	wMel_vs_uninf	3.49987613983537e-08
CG10964	5	wMel_vs_uninf	9.72601273169487e-25
CG10978	5	celltypeJW18.infectionwMel	6.46953395906898e-18
CG1100	5	celltypeJW18.infectionwMel	4.39349315080768e-45
CG11007	5	celltypeJW18.infectionwMel	2.1765949661421e-07
CG11063	5	celltypeJW18.infectionwMel	1.0003776033532e-09
CG11123	5	celltypeJW18.infectionwMel	9.90147552813249e-05
CG11139	5	wMel_vs_uninf	9.17712096757488e-05
CG11141	5	celltypeJW18.infectionwMel	8.29806990400888e-46
CG11173	5	celltypeJW18.infectionwMel	6.63528967365805e-55
CG11265	5	wMel_vs_uninf	4.61581222358574e-132
CG11372	5	wMel_vs_uninf	6.4594159022817e-17
CG11376	5	wMel_vs_uninf	1.71924721172081e-37
CG11412	5	celltypeJW18.infectionwMel	2.40827474107332e-09
CG11471	5	celltypeJW18.infectionwMel	1.77034697728689e-77
CG11486	5	celltypeJW18.infectionwMel	1.11311209187638e-39
CG11495	5	celltypeJW18.infectionwMel	3.90445232184869e-16
CG11561	5	celltypeJW18.infectionwMel	9.23896222982966e-71
CG11579	5	wMel_vs_uninf	3.72219800825418e-281
CG11601	5	celltypeJW18.infectionwMel	4.41544139861877e-18
CG11699	5	wMel_vs_uninf	2.26754096775679e-07
CG11753	5	wMel_vs_uninf	2.64900299787857e-22
CG11851	5	wMel_vs_uninf	2.83058577526154e-07
CG11900	5	celltypeJW18.infectionwMel	1.22989427440772e-08
CG11902	5	wMel_vs_uninf	1.74949466764889e-09
CG11926	5	wMel_vs_uninf	2.22711284150447e-09
CG11975	5	wMel_vs_uninf	1.94460313806344e-16
CG11979	5	celltypeJW18.infectionwMel	2.0325418108115e-06
CG11981	5	celltypeJW18.infectionwMel	2.16880614120711e-05
CG11984	5	celltypeJW18.infectionwMel	3.25641910612416e-05
CG11987	5	celltypeJW18.infectionwMel	6.3467821609147e-06
CG11990	5	wMel_vs_uninf	4.20799401955706e-12
CG12007	5	wMel_vs_uninf	3.23120159510878e-09
CG12012	5	celltypeJW18.infectionwMel	3.46461658386332e-39
CG12013	5	celltypeJW18.infectionwMel	5.65754887185138e-15
CG12014	5	wMel_vs_uninf	0
CG12065	5	wMel_vs_uninf	2.48504610533959e-28
CG12079	5	celltypeJW18.infectionwMel	4.6828960759496e-39
CG12081	5	wMel_vs_uninf	8.69636118649204e-58
CG12082	5	celltypeJW18.infectionwMel	2.96305828381808e-46
CG12108	5	celltypeJW18.infectionwMel	1.30011179922515e-108
CG12114	5	wMel_vs_uninf	0.000376707748364987
CG12134	5	celltypeJW18.infectionwMel	8.7014103753578e-10
CG12140	5	celltypeJW18.infectionwMel	1.19748284877097e-66
CG12207	5	celltypeJW18.infectionwMel	2.6918728815514e-49
CG12217	5	wMel_vs_uninf	1.89673603567737e-07
CG12233	5	celltypeJW18.infectionwMel	1.47586756599564e-28
CG12267	5	wMel_vs_uninf	1.12411601057097e-11
CG12276	5	wMel_vs_uninf	3.88967050949484e-13
CG12333	5	celltypeJW18.infectionwMel	3.87933572604398e-10
CG12346	5	wMel_vs_uninf	1.52727584512493e-09
CG12369	5	celltypeJW18.infectionwMel	1.39096686841111e-103
CG12384	5	wMel_vs_uninf	1.33254609891795e-20
CG12389	5	wMel_vs_uninf	4.80813568528934e-181
CG1239	5	celltypeJW18.infectionwMel	0.00527864978431315
CG12390	5	celltypeJW18.infectionwMel	2.31305976135212e-21
CG1242	5	wMel_vs_uninf	4.24112919782282e-122
CG12489	5	wMel_vs_uninf	1.14489202623313e-64
CG12659	5	wMel_vs_uninf	4.26836640211191e-14
CG12772	5	wMel_vs_uninf	1.1385724561714e-38
CG12775	5	wMel_vs_uninf	0.000111017489555342
CG12935	5	celltypeJW18.infectionwMel	2.07510436675068e-10
CG13089	5	celltypeJW18.infectionwMel	1.7699962875152e-12
CG13124	5	wMel_vs_uninf	1.14132243952347e-46
CG13221	5	wMel_vs_uninf	0.000132294110471271
CG13277	5	wMel_vs_uninf	1.29287194730023e-16
CG13551	5	wMel_vs_uninf	1.43556701100093e-43
CG13605	5	celltypeJW18.infectionwMel	5.20171950704201e-05
CG1362	5	wMel_vs_uninf	0.0071096346626375
CG13625	5	wMel_vs_uninf	0.00995328358759964
CG13628	5	wMel_vs_uninf	0.000155279850779792
CG14100	5	celltypeJW18.infectionwMel	3.05700859307908e-08
CG14164	5	wMel_vs_uninf	1.3041996186334e-13
CG14184	5	celltypeJW18.infectionwMel	1.5243604891984e-09
CG14194	5	celltypeJW18.infectionwMel	2.00660771359419e-08
CG14217	5	wMel_vs_uninf	4.63655405690003e-07
CG14235	5	celltypeJW18.infectionwMel	5.34222830663625e-60
CG14341	5	celltypeJW18.infectionwMel	7.73662836304459e-15
CG14353	5	wMel_vs_uninf	4.7751834692848e-24
CG1440	5	wMel_vs_uninf	7.52086669727032e-26
CG14463	5	celltypeJW18.infectionwMel	1.89973513100301e-05
CG1448	5	wMel_vs_uninf	2.12616113884826e-64
CG14619	5	wMel_vs_uninf	4.7916352869279e-33
CG14683	5	wMel_vs_uninf	1.19682450357508e-10
CG14710	5	celltypeJW18.infectionwMel	2.05310419677547e-11
CG14716	5	celltypeJW18.infectionwMel	3.42605333250795e-12
CG14721	5	wMel_vs_uninf	6.66557790695386e-27
CG14786	5	wMel_vs_uninf	5.23188896587314e-06
CG14814	5	wMel_vs_uninf	7.96822491381402e-56
CG14969	5	celltypeJW18.infectionwMel	9.00400202343555e-29
CG15081	5	celltypeJW18.infectionwMel	1.62010104822143e-50
CG15085	5	wMel_vs_uninf	0
CG15118	5	wMel_vs_uninf	9.57650967472123e-18
CG15168	5	celltypeJW18.infectionwMel	2.33610904828146e-14
CG15387	5	wMel_vs_uninf	0.000992269280288633
CG15439	5	wMel_vs_uninf	2.81312117932568e-05
CG15765	5	wMel_vs_uninf	2.45365513050216e-25
CG15812	5	wMel_vs_uninf	9.03109405373834e-17
CG15881	5	wMel_vs_uninf	7.05381131942063e-05
CG15889	5	wMel_vs_uninf	6.3346294989464e-11
CG15896	5	wMel_vs_uninf	0.000195719697575307
CG1664	5	wMel_vs_uninf	1.86560165294805e-12
CG1665	5	celltypeJW18.infectionwMel	2.80134321158666e-10
CG1667	5	celltypeJW18.infectionwMel	1.22191461184692e-173
CG1671	5	celltypeJW18.infectionwMel	2.79969764574825e-15
CG16728	5	celltype_JW18_vs_S2	1.30418137827615e-18
CG16757	5	celltypeJW18.infectionwMel	3.36943965105765e-277
CG1691	5	wMel_vs_uninf	1.98410038332833e-146
CG16935	5	wMel_vs_uninf	1.17500587179779e-05
CG16941	5	celltypeJW18.infectionwMel	7.68300854606687e-19
CG16972	5	wMel_vs_uninf	2.37778753607409e-69
CG17059	5	wMel_vs_uninf	1.87065818784745e-06
CG1707	5	wMel_vs_uninf	1.68939354826753e-16
CG1715	5	celltypeJW18.infectionwMel	4.37808193491236e-19
CG17168	5	wMel_vs_uninf	1.18425245071516e-07
CG17172	5	wMel_vs_uninf	0.000104130648185134
CG17209	5	wMel_vs_uninf	1.41978830563665e-13
CG17216	5	wMel_vs_uninf	7.86261965692998e-83
CG17224	5	celltypeJW18.infectionwMel	0
CG17227	5	wMel_vs_uninf	3.21333162936427e-27
CG17246	5	wMel_vs_uninf	2.85230611781614e-126
CG17257	5	wMel_vs_uninf	5.70064549966949e-06
CG17264	5	celltypeJW18.infectionwMel	0
CG17331	5	wMel_vs_uninf	4.39782126538193e-06
CG17337	5	celltypeJW18.infectionwMel	1.22437711219373e-151
CG17343	5	wMel_vs_uninf	5.89634703247007e-18
CG17360	5	wMel_vs_uninf	3.83239354760318e-42
CG17370	5	wMel_vs_uninf	5.6574127660353e-18
CG17397	5	wMel_vs_uninf	2.57154321154835e-10
CG1742	5	wMel_vs_uninf	3.14020624036363e-12
CG1746	5	celltypeJW18.infectionwMel	2.74800207015131e-30
CG17486	5	wMel_vs_uninf	3.20316442949015e-05
CG17508	5	celltypeJW18.infectionwMel	9.7038213556584e-35
CG17559	5	celltypeJW18.infectionwMel	2.3968291941346e-16
CG17686	5	wMel_vs_uninf	6.56891808565759e-08
CG17838	5	wMel_vs_uninf	2.63202309615741e-51
CG1787	5	celltypeJW18.infectionwMel	1.60684511055549e-150
CG17870	5	celltypeJW18.infectionwMel	9.99701389424766e-35
CG17896	5	wMel_vs_uninf	1.99945206571974e-238
CG17905	5	celltypeJW18.infectionwMel	8.5142278938615e-06
CG17921	5	wMel_vs_uninf	1.10929673120142e-170
CG18001	5	wMel_vs_uninf	4.20729247909256e-08
CG18005	5	wMel_vs_uninf	2.3785113349625e-05
CG1810	5	wMel_vs_uninf	4.50405325304738e-09
CG1814	5	wMel_vs_uninf	1.28233881760967e-11
CG18174	5	wMel_vs_uninf	8.95870707174113e-07
CG18505	5	wMel_vs_uninf	3.63413710243542e-44
CG18596	5	wMel_vs_uninf	9.92883827283843e-50
CG18624	5	celltypeJW18.infectionwMel	6.26994738770879e-12
CG18627	5	wMel_vs_uninf	5.5995994187591e-23
CG18642	5	celltypeJW18.infectionwMel	5.46204842022198e-11
CG18743	5	wMel_vs_uninf	7.68695775195124e-08
CG18803	5	celltypeJW18.infectionwMel	2.79263685309638e-25
CG1893	5	celltypeJW18.infectionwMel	8.22374560529728e-37
CG1906	5	wMel_vs_uninf	1.36426195976723e-132
CG1910	5	wMel_vs_uninf	0
CG1976	5	wMel_vs_uninf	0
CG2048	5	wMel_vs_uninf	7.36530823470205e-08
CG2052	5	celltypeJW18.infectionwMel	8.57872745611166e-279
CG2097	5	wMel_vs_uninf	1.66333175553885e-19
CG2100	5	celltypeJW18.infectionwMel	3.50813218960386e-07
CG2109	5	wMel_vs_uninf	0.00038151168665069
CG2124	5	wMel_vs_uninf	3.56133566994357e-23
CG2186	5	wMel_vs_uninf	1.88326297840424e-19
CG2202	5	wMel_vs_uninf	2.18912956617167e-18
CG2212	5	wMel_vs_uninf	9.5109990919413e-99
CG2310	5	wMel_vs_uninf	2.84743396112635e-89
