transcript_id	gene_id
FBtr0005088	Dmel_CG17291
FBtr0006151	Dmel_CG3484
FBtr0070000	Dmel_CG9565
FBtr0070001	Dmel_CR32826
FBtr0070002	Dmel_CG9570
FBtr0070003	Dmel_CG32825
FBtr0070006	Dmel_CG9572
FBtr0070007	Dmel_CG9577
FBtr0070008	Dmel_CG9578
FBtr0070025	Dmel_CG9579
FBtr0070026	Dmel_CG9581
FBtr0070027	Dmel_CG9576
FBtr0070028	Dmel_CG9575
FBtr0070029	Dmel_CG18859
FBtr0070032	Dmel_CG9571
FBtr0070034	Dmel_CG33517
FBtr0070035	Dmel_CG17003
FBtr0070036	Dmel_CG12655
FBtr0070038	Dmel_CG17947
FBtr0070040	Dmel_CG32230
FBtr0070041	Dmel_CG32230
FBtr0070042	Dmel_CG17520
FBtr0070043	Dmel_CG17520
FBtr0070044	Dmel_CG17520
FBtr0070045	Dmel_CG33217
FBtr0070046	Dmel_CG32350
FBtr0070050	Dmel_CG32819
FBtr0070051	Dmel_CG32819
FBtr0070052	Dmel_CG32857
FBtr0070053	Dmel_CG32820
FBtr0070054	Dmel_CG32820
FBtr0070055	Dmel_CG33502
FBtr0070056	Dmel_CG17450
FBtr0070057	Dmel_CG17450
FBtr0070058	Dmel_CG14476
FBtr0070059	Dmel_CG14476
FBtr0070060	Dmel_CG14476
FBtr0070061	Dmel_CG14476
FBtr0070062	Dmel_CG14476
FBtr0070063	Dmel_CG2995
FBtr0070064	Dmel_CG2945
FBtr0070065	Dmel_CG2945
FBtr0070066	Dmel_CG3777
FBtr0070067	Dmel_CG3777
FBtr0070068	Dmel_CG3777
FBtr0070069	Dmel_CG12470
FBtr0070070	Dmel_CG17885
FBtr0070071	Dmel_CG3757
FBtr0070072	Dmel_CG3796
FBtr0070073	Dmel_CG3827
FBtr0070074	Dmel_CG3839
FBtr0070075	Dmel_CG3258
FBtr0070076	Dmel_CG13373
FBtr0070077	Dmel_CG32817
FBtr0070078	Dmel_CG3176
FBtr0070079	Dmel_CG3156
FBtr0070080	Dmel_CG17778
FBtr0070081	Dmel_CG4122
FBtr0070084	Dmel_CG4122
FBtr0070085	Dmel_CG4122
FBtr0070086	Dmel_CG4122
FBtr0070087	Dmel_CG4122
FBtr0070088	Dmel_CG18104
FBtr0070089	Dmel_CG4293
FBtr0070090	Dmel_CG4293
FBtr0070091	Dmel_CG4262
FBtr0070092	Dmel_CG17896
FBtr0070093	Dmel_CG17896
FBtr0070094	Dmel_CG18273
FBtr0070098	Dmel_CG3923
FBtr0070099	Dmel_CG3972
FBtr0070100	Dmel_CG13374
FBtr0070101	Dmel_CG32816
FBtr0070102	Dmel_CG32816
FBtr0070103	Dmel_CG13375
FBtr0070106	Dmel_CG13377
FBtr0070107	Dmel_CG3038
FBtr0070108	Dmel_CG3038
FBtr0070109	Dmel_CG7727
FBtr0070110	Dmel_CG6172
FBtr0070115	Dmel_CG13369
FBtr0070116	Dmel_CG17829
FBtr0070117	Dmel_CG17829
FBtr0070118	Dmel_CG17829
FBtr0070119	Dmel_CG6189
FBtr0070120	Dmel_CG6222
FBtr0070121	Dmel_CG13367
